AgentID,Episode,Conversation_Length,Conversation_With_Like,People_Around_To_Talk,Action
0,9,2,0,1,2
0,9,0,0,1,3
0,9,1,0,1,4
0,9,2,0,1,2
0,9,0,0,0,2
0,9,0,0,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,1,3
0,9,1,0,1,4
0,9,2,0,1,2
0,9,0,0,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,0,1
0,9,0,1,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,10,0,0,1,3
0,10,1,0,1,4
0,10,2,0,1,2
0,10,0,0,1,3
0,10,1,0,1,4
0,10,2,0,1,2
0,10,0,0,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,0,1
0,10,0,1,1,3
0,10,1,0,1,4
0,10,2,0,1,2
0,10,0,0,0,2
0,10,0,0,1,3
0,10,1,0,1,4
0,10,2,0,1,2
0,10,0,0,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,0,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,1,3
0,10,1,0,1,4
0,10,2,0,1,2
0,10,0,0,1,3
0,10,1,0,1,4
0,10,2,0,1,2
0,10,0,0,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,10,0,1,0,1
0,10,0,1,1,3
0,10,1,1,1,4
0,10,2,1,1,4
0,10,3,1,1,4
0,10,4,1,1,4
0,10,5,1,1,1
0,11,0,0,1,3
0,11,1,1,1,4
0,11,2,1,1,4
0,11,3,1,1,4
0,11,4,1,1,4
0,11,5,1,1,1
0,11,0,1,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,1,1,4
0,11,2,1,1,4
0,11,3,1,1,4
0,11,4,1,1,4
0,11,5,1,1,1
0,11,0,1,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,0,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,0,2
0,11,0,0,0,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,0,2
0,11,0,0,0,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,0,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,0,2
0,11,0,0,0,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,1,1,4
0,11,2,1,1,4
0,11,3,1,1,4
0,11,4,1,1,4
0,11,5,1,1,1
0,11,0,1,1,3
0,11,1,1,1,4
0,11,2,1,1,4
0,11,3,1,1,4
0,11,4,1,1,4
0,11,5,1,1,1
0,11,0,1,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,11,2,0,1,2
0,11,0,0,1,3
0,11,1,0,1,4
0,12,0,0,1,3
0,12,1,1,1,4
0,12,2,1,1,4
0,12,3,1,1,4
0,12,4,1,1,4
0,12,5,1,1,1
0,12,0,1,0,1
0,12,0,1,1,3
0,12,1,0,1,4
0,12,2,0,1,2
0,12,0,0,1,3
0,12,1,1,1,4
0,12,2,1,1,4
0,12,3,1,1,4
0,12,4,1,1,4
0,12,5,1,1,1
0,12,0,1,1,3
0,12,1,1,1,4
0,12,2,1,1,4
0,12,3,1,1,4
0,12,4,1,1,4
0,12,5,1,1,1
0,12,0,1,1,3
0,12,1,1,1,4
0,12,2,1,1,4
0,12,3,1,1,4
0,12,4,1,1,4
0,12,5,1,1,1
0,12,0,1,1,3
0,12,1,1,1,4
0,12,2,1,1,4
0,12,3,1,1,4
0,12,4,1,1,4
0,12,5,1,1,1
0,12,0,1,1,3
0,12,1,0,1,4
0,12,2,0,1,2
0,12,0,0,0,2
0,12,0,0,0,2
0,12,0,0,0,2
0,12,0,0,1,3
0,12,1,0,1,4
0,12,2,0,1,2
0,12,0,0,1,3
0,12,1,0,1,4
0,12,2,0,1,2
0,12,0,0,1,3
0,12,1,0,1,4
0,12,2,0,1,2
